Price,Close,High,Low,Open,Volume
Ticker,PRECOT.NS,PRECOT.NS,PRECOT.NS,PRECOT.NS,PRECOT.NS
Date,,,,,
2010-01-04,61.160797119140625,62.84566759860605,59.36360365498306,62.84566759860605,6490
2010-01-05,63.43537139892578,64.4182102963344,61.83474327717379,61.83474327717379,3754
2010-01-06,66.01884460449219,72.44943201090067,62.3402089396122,64.02507945149361,108820
2010-01-07,68.57422637939453,70.73647586322505,64.58669634900279,66.83319449442114,17293
2010-01-08,68.46190643310547,70.2029449859262,66.27157590184247,67.95644653008652,8377
2010-01-11,69.10775756835938,70.98919292158313,67.53521036566694,67.53521036566694,9463
2010-01-12,70.76456451416016,71.8878137123642,69.07969393048967,70.76456451416016,15298
2010-01-13,76.04381561279297,78.45879828592592,71.04537222104125,71.04537222104125,38988
2010-01-14,79.72244262695312,80.87377235004168,78.0656531121308,80.5929584980696,15685
2010-01-15,78.96426391601562,80.84570613597478,78.65537569333445,79.89094786587252,11488
2010-01-18,78.29032135009766,80.31216735416928,75.95958068896492,78.06566893752469,6213
2010-01-19,77.44786834716797,80.19981960168359,76.94240856850895,79.86285070075745,4801
2010-01-20,72.78640747070312,78.4588018669197,72.02821445415259,78.0656649852739,7134
2010-01-21,72.89871978759766,76.35270254936174,68.51805966447297,68.51805966447297,7990
2010-01-22,70.6241455078125,71.32617048107122,69.36049284322303,69.38857358506259,2289
2010-01-25,69.10775756835938,73.01103840686345,68.51805558098452,69.58513659190466,781
2010-01-27,66.55237579345703,69.61322174259297,65.709940656831,67.95643221207709,2530
2010-01-28,65.62569427490234,67.39480666438862,63.46344508472249,63.46344508472249,1228
2010-01-29,68.88311004638672,68.91119721658437,62.62101439175434,62.677175877609514,6546
2010-02-01,65.45721435546875,71.32618017975474,65.45721435546875,71.32618017975474,1836
2010-02-02,68.74271392822266,68.74271392822266,67.42289958296872,68.4899872139466,3870
2010-02-03,67.67562866210938,71.32617684512931,65.82226739898395,71.32617684512931,1980
2010-02-04,64.5866928100586,68.85503005429675,64.5866928100586,68.85503005429675,3856
2010-02-05,63.463443756103516,64.58668622548163,61.35735609193271,64.58668622548163,1080
2010-02-08,66.18731689453125,66.83318680452393,65.76609934413986,66.27155911915558,150
2010-02-09,66.74893951416016,68.51805840370591,63.070310879037294,67.6756232857393,1380
2010-02-10,67.33866119384766,67.39482268911911,63.463460174677536,63.54770241758471,1143
2010-02-11,65.51337432861328,67.394816380445,64.0531563064299,64.08123705143704,2856
2010-02-15,62.25596618652344,62.36828917245114,62.25596618652343,62.36828917245114,1500
2010-02-16,62.340206146240234,62.340206146240234,62.340206146240234,62.340206146240234,30
2010-02-17,64.5866928100586,65.4572087048465,64.02507151811255,64.02507151811255,1212
2010-02-18,63.18264389038086,64.5867005010768,63.18264389038086,64.5867005010768,1453
2010-02-19,62.90182876586914,64.02507788879795,62.76142503572958,62.76142503572958,1794
2010-02-22,63.070316314697266,63.40728524910937,62.95798690928947,63.40728524910937,405
2010-02-23,63.15456008911133,64.02507604545518,63.042237108233564,64.02507604545518,171
2010-02-24,61.91899108886719,64.55861983404552,60.8519034357884,63.46345786162538,1230
2010-02-25,61.77858352661133,61.77858352661133,61.38544667113634,61.38544667113634,306
2010-02-26,62.64909744262695,64.86750835198107,61.778581525262545,61.778581525262545,1362
2010-03-02,65.794189453125,65.794189453125,64.36205214880171,65.70994721650669,3922
2010-03-03,69.10775756835938,69.10775756835938,67.45096814279476,69.0235153454872,3436
2010-03-04,66.88936614990234,71.32618877096746,66.63663298126914,70.20294595481683,1138
2010-03-05,68.77079010009766,70.23101450565174,67.53521807511741,68.9954424806715,5428
2010-03-08,69.7817153930664,73.01104592665978,69.41665929575161,71.85972257428654,1372
2010-03-09,70.39949798583984,70.42757872960998,69.07968374683313,70.42757872960998,3409
2010-03-10,71.41040802001953,71.88779345450145,70.25908482561792,70.28716556561457,3493
2010-03-11,73.06721496582031,73.29186736710493,71.382344451634,71.382344451634,2932
2010-03-12,71.9439697265625,74.63975988412665,71.88780823502208,71.88780823502208,1215
2010-03-15,72.7583236694336,73.01105037949321,70.25909875077558,71.60699381957221,3129
2010-03-16,72.58983612060547,74.63976277765273,72.16861849045249,72.73024628217044,4876
2010-03-17,74.24662780761719,74.69592619620691,72.44943425325827,72.44943425325827,4240
